timestamp,src_host,dst_ip,dst_port,bytes_out
2026-03-17T11:05:43Z,10.5.10.7,52.94.236.10,443,282047
2026-03-17T11:07:00Z,10.5.33.8,151.101.1.69,443,1342938
2026-03-17T11:07:20Z,10.5.10.31,199.232.36.133,80,727435
2026-03-17T11:11:55Z,10.5.10.7,199.232.36.133,80,550233
2026-03-17T11:15:16Z,10.5.10.31,104.18.32.115,443,730898
2026-03-17T11:15:51Z,10.5.33.8,151.101.1.69,443,597991
2026-03-17T11:16:16Z,10.5.10.31,199.232.36.133,80,363961
2026-03-17T11:23:42Z,10.5.33.8,199.232.36.133,80,449041
2026-03-17T11:25:28Z,10.5.33.8,140.82.114.4,443,719934
2026-03-17T11:26:06Z,10.5.10.45,199.232.36.133,80,895309
2026-03-17T11:29:53Z,10.5.10.45,13.107.42.14,443,679167
2026-03-17T11:38:12Z,10.5.10.45,151.101.1.69,443,436871
2026-03-17T11:39:51Z,10.5.33.8,52.94.236.10,443,1246091
2026-03-17T11:43:18Z,10.5.10.45,52.94.236.10,443,374819
2026-03-17T11:44:01Z,10.5.10.31,13.107.42.14,443,680845
2026-03-17T11:55:09Z,10.5.10.30,104.18.32.115,443,790527
2026-03-17T11:55:58Z,10.5.20.14,199.232.36.133,80,402211
2026-03-17T12:05:50Z,10.5.10.7,140.82.114.4,443,249903
2026-03-17T12:06:46Z,10.5.10.7,199.232.36.133,80,291029
2026-03-17T12:07:06Z,10.5.20.14,151.101.1.69,443,475118
2026-03-17T12:12:20Z,10.5.20.14,151.101.1.69,443,828011
2026-03-17T12:12:53Z,10.5.33.8,199.232.36.133,80,527829
2026-03-17T12:17:26Z,10.5.20.14,199.232.36.133,80,411084
2026-03-17T12:18:00Z,10.5.33.8,52.94.236.10,443,877469
2026-03-17T12:19:11Z,10.5.33.8,199.232.36.133,80,1005942
2026-03-17T12:21:55Z,10.5.10.31,140.82.114.4,443,308928
2026-03-17T12:22:26Z,10.5.10.7,52.94.236.10,443,280638
2026-03-17T12:23:29Z,10.5.10.7,151.101.1.69,443,241696
2026-03-17T12:24:17Z,10.5.20.14,140.82.114.4,443,489854
2026-03-17T12:25:16Z,10.5.10.7,151.101.1.69,443,487060
2026-03-17T12:27:10Z,10.5.33.8,140.82.114.4,443,1001247
2026-03-17T12:29:03Z,10.5.10.45,104.18.32.115,443,575778
2026-03-17T12:29:31Z,10.5.10.30,13.107.42.14,443,588733
2026-03-17T12:29:51Z,10.5.10.31,52.94.236.10,443,857409
2026-03-17T12:34:23Z,10.5.10.31,199.232.36.133,80,732639
2026-03-17T12:37:25Z,10.5.10.30,199.232.36.133,80,644339
2026-03-17T12:38:28Z,10.5.10.45,140.82.114.4,443,697211
2026-03-17T12:41:38Z,10.5.10.45,140.82.114.4,443,556342
2026-03-17T12:42:29Z,10.5.10.30,104.18.32.115,443,865827
2026-03-17T12:43:27Z,10.5.10.31,151.101.1.69,443,399227
2026-03-17T12:45:36Z,10.5.20.14,13.107.42.14,443,786024
2026-03-17T12:53:20Z,10.5.20.14,140.82.114.4,443,653400
2026-03-17T12:57:14Z,10.5.20.14,151.101.1.69,443,856866
2026-03-17T12:57:34Z,10.5.10.45,104.18.32.115,443,759947
2026-03-17T12:58:17Z,10.5.10.30,199.232.36.133,80,635237
2026-03-17T12:59:02Z,10.5.10.30,52.94.236.10,443,468202
2026-03-17T13:01:43Z,10.5.10.7,140.82.114.4,443,740470
2026-03-17T13:04:49Z,10.5.20.14,52.94.236.10,443,400502
2026-03-17T13:12:52Z,10.5.10.31,151.101.1.69,443,771849
2026-03-17T13:17:12Z,10.5.10.31,140.82.114.4,443,877141
2026-03-17T13:19:48Z,10.5.20.14,52.94.236.10,443,500053
2026-03-17T13:22:26Z,10.5.10.45,104.18.32.115,443,196715
2026-03-17T13:22:46Z,10.5.20.14,104.18.32.115,443,799470
2026-03-17T13:29:51Z,10.5.10.45,52.94.236.10,443,346241
2026-03-17T13:30:11Z,10.5.10.31,151.101.1.69,443,406572
2026-03-17T13:30:48Z,10.5.10.30,140.82.114.4,443,793558
2026-03-17T13:36:20Z,10.5.33.8,52.94.236.10,443,536626
2026-03-17T13:36:44Z,10.5.20.14,52.94.236.10,443,210943
2026-03-17T13:37:04Z,10.5.33.8,52.94.236.10,443,342753
2026-03-17T13:38:16Z,10.5.10.31,52.94.236.10,443,253153
2026-03-17T13:39:24Z,10.5.10.30,104.18.32.115,443,551792
2026-03-17T13:45:57Z,10.5.10.30,199.232.36.133,80,494549
2026-03-17T13:46:44Z,10.5.33.8,140.82.114.4,443,429029
2026-03-17T13:47:04Z,10.5.10.45,151.101.1.69,443,860870
2026-03-17T13:47:24Z,10.5.10.31,52.94.236.10,443,403470
2026-03-17T13:47:44Z,10.5.20.14,13.107.42.14,443,842930
2026-03-17T13:53:53Z,10.5.10.31,151.101.1.69,443,602762
2026-03-17T13:58:15Z,10.5.33.8,151.101.1.69,443,684150
2026-03-17T13:58:53Z,10.5.33.8,104.18.32.115,443,794489
2026-03-17T14:04:37Z,10.5.10.45,140.82.114.4,443,457094
2026-03-17T14:05:37Z,10.5.10.31,140.82.114.4,443,899522
2026-03-17T14:06:51Z,10.5.10.45,151.101.1.69,443,185215
2026-03-17T14:07:51Z,10.5.10.45,151.101.1.69,443,584237
2026-03-17T14:08:11Z,10.5.10.45,199.232.36.133,80,818232
2026-03-17T14:10:45Z,10.5.10.7,151.101.1.69,443,861547
2026-03-17T14:11:05Z,10.5.33.8,13.107.42.14,443,887391
2026-03-17T14:12:00Z,10.5.10.45,52.94.236.10,443,455569
2026-03-17T14:13:59Z,10.5.10.31,140.82.114.4,443,207832
2026-03-17T14:18:05Z,10.5.10.30,151.101.1.69,443,625735
2026-03-17T14:19:47Z,10.5.33.8,104.18.32.115,443,1231189
2026-03-17T14:20:59Z,10.5.10.30,13.107.42.14,443,1359420
2026-03-17T14:24:06Z,10.5.33.8,199.232.36.133,80,446555
2026-03-17T14:25:39Z,10.5.10.30,52.94.236.10,443,204471
2026-03-17T14:28:03Z,10.5.10.7,151.101.1.69,443,755954
2026-03-17T14:29:51Z,10.5.10.45,151.101.1.69,443,930971
2026-03-17T14:33:30Z,10.5.10.30,52.94.236.10,443,666391
2026-03-17T14:37:05Z,10.5.20.14,199.232.36.133,80,820274
2026-03-17T14:40:29Z,10.5.10.45,13.107.42.14,443,864866
2026-03-17T14:42:52Z,10.5.10.30,199.232.36.133,80,617437
2026-03-17T14:44:27Z,10.5.10.31,140.82.114.4,443,875637
2026-03-17T14:44:47Z,10.5.10.31,199.232.36.133,80,615407
2026-03-17T14:48:17Z,10.5.33.8,13.107.42.14,443,800013
2026-03-17T14:50:57Z,10.5.10.7,151.101.1.69,443,848029
2026-03-17T14:51:45Z,10.5.33.8,199.232.36.133,80,1286958
2026-03-17T14:57:03Z,10.5.20.14,104.18.32.115,443,749352
2026-03-17T14:57:46Z,10.5.10.45,13.107.42.14,443,579994
2026-03-17T15:03:12Z,10.5.10.30,13.107.42.14,443,719477
2026-03-17T15:03:34Z,10.5.10.31,151.101.1.69,443,878665
2026-03-17T15:06:34Z,10.5.33.8,140.82.114.4,443,244950
2026-03-17T15:08:55Z,10.5.10.45,52.94.236.10,443,804079
2026-03-17T15:09:34Z,10.5.10.45,151.101.1.69,443,495342
2026-03-17T15:10:08Z,10.5.33.8,52.94.236.10,443,811524
2026-03-17T15:10:44Z,10.5.10.45,52.94.236.10,443,1218018
2026-03-17T15:12:14Z,10.5.33.8,151.101.1.69,443,1315198
2026-03-17T15:21:21Z,10.5.33.8,104.18.32.115,443,1277608
2026-03-17T15:21:41Z,10.5.10.30,13.107.42.14,443,263598
2026-03-17T15:22:32Z,10.5.33.8,104.18.32.115,443,757447
2026-03-17T15:23:55Z,10.5.20.14,140.82.114.4,443,294264
2026-03-17T15:26:43Z,10.5.20.14,104.18.32.115,443,769929
2026-03-17T15:28:52Z,10.5.10.45,151.101.1.69,443,504206
2026-03-17T15:29:25Z,10.5.10.31,199.232.36.133,80,381549
2026-03-17T15:31:10Z,10.5.10.30,104.18.32.115,443,712391
2026-03-17T15:32:37Z,10.5.33.8,13.107.42.14,443,382893
2026-03-17T15:33:08Z,10.5.10.31,151.101.1.69,443,259637
2026-03-17T15:33:38Z,10.5.20.14,199.232.36.133,80,535589
2026-03-17T15:34:55Z,10.5.10.30,151.101.1.69,443,222328
2026-03-17T15:38:15Z,10.5.20.14,151.101.1.69,443,1095378
2026-03-17T15:38:58Z,10.5.20.14,52.94.236.10,443,1330939
2026-03-17T15:50:59Z,10.5.20.14,13.107.42.14,443,820733
2026-03-17T15:54:01Z,10.5.10.31,140.82.114.4,443,559677
2026-03-17T15:54:36Z,10.5.20.14,104.18.32.115,443,782846
2026-03-17T15:59:07Z,10.5.10.45,104.18.32.115,443,545826
2026-03-17T15:59:49Z,10.5.10.7,52.94.236.10,443,885206
2026-03-17T16:03:28Z,10.5.10.30,13.107.42.14,443,493880
2026-03-17T16:10:00Z,10.5.10.22,198.51.100.44,443,2048000
2026-03-17T16:11:06Z,10.5.10.30,140.82.114.4,443,963514
2026-03-17T16:12:00Z,10.5.10.22,198.51.100.44,443,4096000
2026-03-17T16:15:00Z,10.5.10.22,198.51.100.44,443,8192000
2026-03-17T16:16:00Z,10.5.10.30,203.0.113.20,443,50000
2026-03-17T16:17:05Z,10.5.10.30,199.232.36.133,80,402360
2026-03-17T16:19:22Z,10.5.10.45,140.82.114.4,443,674758
2026-03-17T16:20:46Z,10.5.20.14,140.82.114.4,443,278121
2026-03-17T16:24:38Z,10.5.10.7,151.101.1.69,443,966776
2026-03-17T16:25:04Z,10.5.10.30,104.18.32.115,443,218413
2026-03-17T16:27:12Z,10.5.10.31,199.232.36.133,80,881470
2026-03-17T16:28:43Z,10.5.33.8,140.82.114.4,443,629156
2026-03-17T16:29:45Z,10.5.10.7,52.94.236.10,443,357645
2026-03-17T16:30:05Z,10.5.33.8,104.18.32.115,443,484564
2026-03-17T16:38:02Z,10.5.10.7,13.107.42.14,443,412017
2026-03-17T16:38:32Z,10.5.10.45,140.82.114.4,443,721468
2026-03-17T16:40:11Z,10.5.33.8,13.107.42.14,443,182893
2026-03-17T16:44:45Z,10.5.20.14,104.18.32.115,443,748233
2026-03-17T16:46:43Z,10.5.33.8,13.107.42.14,443,719864
2026-03-17T16:49:15Z,10.5.20.14,52.94.236.10,443,894102
2026-03-17T16:49:35Z,10.5.10.7,52.94.236.10,443,504573
2026-03-17T16:52:10Z,10.5.20.14,104.18.32.115,443,588272
2026-03-17T16:52:30Z,10.5.10.31,13.107.42.14,443,684774
2026-03-17T16:54:13Z,10.5.20.14,151.101.1.69,443,271397
2026-03-17T16:55:42Z,10.5.20.14,140.82.114.4,443,757572
2026-03-17T16:57:56Z,10.5.10.45,13.107.42.14,443,493349
2026-03-17T16:59:44Z,10.5.20.14,13.107.42.14,443,200014
2026-03-17T17:00:08Z,10.5.10.30,13.107.42.14,443,691365
2026-03-17T17:02:17Z,10.5.10.30,13.107.42.14,443,466747
2026-03-17T17:02:49Z,10.5.10.45,52.94.236.10,443,328605
2026-03-17T17:03:09Z,10.5.33.8,199.232.36.133,80,192082
2026-03-17T17:05:33Z,10.5.10.30,13.107.42.14,443,553125
2026-03-17T17:13:08Z,10.5.10.30,140.82.114.4,443,465233
2026-03-17T17:17:26Z,10.5.20.14,52.94.236.10,443,410919
2026-03-17T17:18:52Z,10.5.10.45,151.101.1.69,443,192483
2026-03-17T17:23:54Z,10.5.10.7,52.94.236.10,443,1354309
2026-03-17T17:24:17Z,10.5.10.45,199.232.36.133,80,544743
2026-03-17T17:24:37Z,10.5.20.14,151.101.1.69,443,310359
2026-03-17T17:24:57Z,10.5.10.31,52.94.236.10,443,636595
2026-03-17T17:25:40Z,10.5.10.7,104.18.32.115,443,934185
2026-03-17T17:30:01Z,10.5.20.14,13.107.42.14,443,760892
2026-03-17T17:35:01Z,10.5.10.30,140.82.114.4,443,779572
2026-03-17T17:38:58Z,10.5.33.8,52.94.236.10,443,1132940
2026-03-17T17:45:30Z,10.5.10.45,104.18.32.115,443,1225785
2026-03-17T17:47:36Z,10.5.10.45,52.94.236.10,443,541827
2026-03-17T17:49:40Z,10.5.33.8,104.18.32.115,443,781895
2026-03-17T17:55:08Z,10.5.10.7,104.18.32.115,443,185381
2026-03-17T17:59:56Z,10.5.10.7,199.232.36.133,80,703173
2026-03-17T18:00:47Z,10.5.20.14,52.94.236.10,443,655650
2026-03-17T18:01:07Z,10.5.10.45,104.18.32.115,443,876308
2026-03-17T18:06:17Z,10.5.10.7,104.18.32.115,443,695210
2026-03-17T18:09:16Z,10.5.10.31,151.101.1.69,443,586332
2026-03-17T18:09:36Z,10.5.20.14,52.94.236.10,443,250354
2026-03-17T18:10:26Z,10.5.33.8,52.94.236.10,443,385422
2026-03-17T18:12:02Z,10.5.10.7,199.232.36.133,80,1345428
2026-03-17T18:14:08Z,10.5.20.14,13.107.42.14,443,540202
2026-03-17T18:14:58Z,10.5.33.8,13.107.42.14,443,380291
2026-03-17T18:16:35Z,10.5.10.7,13.107.42.14,443,689202
2026-03-17T18:19:56Z,10.5.10.45,199.232.36.133,80,1128781
2026-03-17T18:24:57Z,10.5.33.8,140.82.114.4,443,291713
2026-03-17T18:25:17Z,10.5.10.31,13.107.42.14,443,815371
2026-03-17T18:27:16Z,10.5.10.45,104.18.32.115,443,652027
2026-03-17T18:27:57Z,10.5.10.31,140.82.114.4,443,549720
2026-03-17T18:28:17Z,10.5.10.30,151.101.1.69,443,688473
